,dates,values,direction,operator,location,label,country,exportcountry,IEAname
206,2023-01-23,296126866.0,entry,ES-TSO-0006,LNG-00018,Huelva,ES,Liquefied Natural Gas,Huelva
207,2023-01-24,322141831.0,entry,ES-TSO-0006,LNG-00018,Huelva,ES,Liquefied Natural Gas,Huelva
208,2023-01-25,342267666.0,entry,ES-TSO-0006,LNG-00018,Huelva,ES,Liquefied Natural Gas,Huelva
209,2023-01-26,320844653.0,entry,ES-TSO-0006,LNG-00018,Huelva,ES,Liquefied Natural Gas,Huelva
210,2023-01-27,285328074.0,entry,ES-TSO-0006,LNG-00018,Huelva,ES,Liquefied Natural Gas,Huelva
211,2023-01-28,161635340.0,entry,ES-TSO-0006,LNG-00018,Huelva,ES,Liquefied Natural Gas,Huelva
212,2023-01-29,146173815.0,entry,ES-TSO-0006,LNG-00018,Huelva,ES,Liquefied Natural Gas,Huelva
213,2023-01-30,291726885.0,entry,ES-TSO-0006,LNG-00018,Huelva,ES,Liquefied Natural Gas,Huelva
214,2023-01-31,302350864.0,entry,ES-TSO-0006,LNG-00018,Huelva,ES,Liquefied Natural Gas,Huelva
215,2023-02-01,272949302.0,entry,ES-TSO-0006,LNG-00018,Huelva,ES,Liquefied Natural Gas,Huelva
216,2023-02-02,286567608.0,entry,ES-TSO-0006,LNG-00018,Huelva,ES,Liquefied Natural Gas,Huelva
217,2023-02-03,209817941.0,entry,ES-TSO-0006,LNG-00018,Huelva,ES,Liquefied Natural Gas,Huelva
218,2023-02-04,89319871.0,entry,ES-TSO-0006,LNG-00018,Huelva,ES,Liquefied Natural Gas,Huelva
219,2023-02-05,95128159.0,entry,ES-TSO-0006,LNG-00018,Huelva,ES,Liquefied Natural Gas,Huelva
220,2023-02-06,176115766.0,entry,ES-TSO-0006,LNG-00018,Huelva,ES,Liquefied Natural Gas,Huelva
221,2023-02-07,283213983.0,entry,ES-TSO-0006,LNG-00018,Huelva,ES,Liquefied Natural Gas,Huelva
222,2023-02-08,245121566.0,entry,ES-TSO-0006,LNG-00018,Huelva,ES,Liquefied Natural Gas,Huelva
223,2023-02-09,257076990.0,entry,ES-TSO-0006,LNG-00018,Huelva,ES,Liquefied Natural Gas,Huelva
224,2023-02-10,279817690.0,entry,ES-TSO-0006,LNG-00018,Huelva,ES,Liquefied Natural Gas,Huelva
225,2023-02-11,183723550.0,entry,ES-TSO-0006,LNG-00018,Huelva,ES,Liquefied Natural Gas,Huelva
226,2023-02-12,187013280.0,entry,ES-TSO-0006,LNG-00018,Huelva,ES,Liquefied Natural Gas,Huelva
227,2023-02-13,245066839.0,entry,ES-TSO-0006,LNG-00018,Huelva,ES,Liquefied Natural Gas,Huelva
228,2023-02-14,268700493.0,entry,ES-TSO-0006,LNG-00018,Huelva,ES,Liquefied Natural Gas,Huelva
229,2023-02-15,303332413.0,entry,ES-TSO-0006,LNG-00018,Huelva,ES,Liquefied Natural Gas,Huelva
